"datetime","deployment","pm10.avg","wd","ws"
2015-12-09 10:00:00,"T29-4N",26.7374,86.19917,1.763841024
2015-12-09 11:00:00,"T29-4N",17.66957,77.82697,2.057814528
2015-12-09 12:00:00,"T29-4N",19.40932,105.6267,2.057814528
2015-12-09 13:00:00,"T29-4N",23.62183,154.3666,2.351788032
2015-12-09 14:00:00,"T29-4N",8.818411,135.1298,2.253796864
2015-12-09 15:00:00,"T29-4N",19.65105,80.75281,1.567858688
2015-12-09 16:00:00,"T29-4N",44.00025,144.8544,2.155805696
2015-12-09 17:00:00,"T29-4N",79.0696,328.1715,0.48995584
2015-12-09 18:00:00,"T29-4N",20.81468,20.86656,2.057814528
2015-12-09 19:00:00,"T29-4N",62.62231,254.6834,2.645761536
2015-12-09 20:00:00,"T29-4N",29.55435,306.1324,1.273885184
2015-12-09 21:00:00,"T29-4N",13.11806,85.46446,0.783929344
2015-12-09 22:00:00,"T29-4N",21.16353,304.1559,1.273885184
2015-12-09 23:00:00,"T29-4N",9.083904,332.389,0.783929344
2015-12-10 00:00:00,"T29-4N",22.39007,106.5261,3.42969088
2015-12-10 01:00:00,"T29-4N",21.12746,308.1718,3.42969088
2015-12-10 02:00:00,"T29-4N",9.050816,308.5294,1.371876352
2015-12-10 03:00:00,"T29-4N",32.97241,143.1943,1.861832192
2015-12-10 04:00:00,"T29-4N",21.07187,125.0433,1.273885184
2015-12-10 05:00:00,"T29-4N",14.82808,243.7105,1.861832192
2015-12-10 06:00:00,"T29-4N",12.38013,7.663497,1.763841024
2015-12-10 07:00:00,"T29-4N",12.54016,304.9209,3.723664384
2015-12-10 08:00:00,"T29-4N",26.77372,26.27175,3.233708544
2015-12-10 09:00:00,"T29-4N",17.60917,316.5354,1.567858688
2015-12-10 10:00:00,"T29-4N",41.04933,164.5571,2.93973504
2015-12-10 11:00:00,"T29-4N",263.2486,247.0806,13.22880768
2015-12-10 12:00:00,"T29-4N",112.4954,245.3858,16.070551552
2015-12-10 13:00:00,"T29-4N",139.6333,227.5664,15.18863104
2015-12-10 14:00:00,"T29-4N",52.34278,216.4114,14.012737024
2015-12-10 15:00:00,"T29-4N",34.41163,215.0786,14.992648704
2015-12-10 16:00:00,"T29-4N",26.61529,202.3241,11.26898432
2015-12-10 17:00:00,"T29-4N",15.7731,193.2085,9.897107968
2015-12-10 18:00:00,"T29-4N",3.208304,207.5321,9.113178624
2015-12-10 19:00:00,"T29-4N",47.31813,232.8459,11.75894016
2015-12-10 20:00:00,"T29-4N",22.79631,201.9817,17.1484544
2015-12-10 21:00:00,"T29-4N",11.27217,210.7223,14.404701696
2015-12-10 22:00:00,"T29-4N",3.286502,233.3704,8.525231616
2015-12-10 23:00:00,"T29-4N",36.20658,284.4336,5.38951424
2015-12-11 00:00:00,"T29-4N",11.55891,311.8151,4.017637888
2015-12-11 01:00:00,"T29-4N",13.1495,337.5818,4.605584896
