"data.id.x","datetime","dca.group","teom.uw","ws.uw","wd.uw","pm10.uw","teom.dw","ws.dw","wd.dw","pm10.dw","day","ws.avg"
149772,2016-01-08 08:00:00,"north (T29)","T29-4N",8.133266944,337.183,4.88991566666667,"T29-4S",9.30916096,332.6881,3.97743254237288,8,8.721213952
149776,2016-01-08 12:00:00,"north (T29)","T29-4N",8.525231616,324.4178,3.13263775,"T29-4S",10.77902848,336.0171,2.06993816949153,8,9.652130048
149780,2016-01-08 16:00:00,"north (T29)","T29-4N",5.683487744,319.9727,6.80820016666667,"T29-4S",5.291523072,329.9508,7.18497114754098,8,5.487505408
149795,2016-01-09 07:00:00,"north (T29)","T29-4N",2.253796864,334.8424,7.1729565,"T29-4S",1.567858688,332.1138,8.83911683333333,9,1.910827776
149813,2016-01-10 01:00:00,"north (T29)","T29-4N",3.331699712,325.4169,3.875096,"T29-4S",3.037726208,334.1662,3.93747955,10,3.18471296
149815,2016-01-10 03:00:00,"north (T29)","T29-4N",2.4497792,328.7502,4.78506878333333,"T29-4S",3.135717376,319.0234,4.41632483333333,10,2.792748288
149833,2016-01-10 21:00:00,"north (T29)","T29-4N",2.4497792,334.1445,6.13431366666667,"T29-4S",2.93973504,334.9334,5.20395937704918,10,2.69475712
149834,2016-01-10 22:00:00,"north (T29)","T29-4N",2.645761536,327.6643,4.85030233333333,"T29-4S",2.253796864,321.4442,5.52046757627119,10,2.4497792
149844,2016-01-11 08:00:00,"north (T29)","T29-4N",1.371876352,326.4984,5.43687916666667,"T29-4S",1.371876352,319.6042,6.36692203389831,11,1.371876352
149858,2016-01-11 22:00:00,"north (T29)","T29-4N",1.861832192,319.8752,5.15911341666667,"T29-4S",1.46986752,320.625,5.0413487,11,1.665849856
149860,2016-01-12 00:00:00,"north (T29)","T29-4N",0.587947008,332.1766,4.94943,"T29-4S",2.351788032,339.3481,4.44073752459016,12,1.46986752
149899,2016-01-13 15:00:00,"north (T29)","T29-4N",4.997549568,329.7666,11.3165705,"T29-4S",3.233708544,328.7176,13.0932866833333,13,4.115629056
149940,2016-01-15 08:00:00,"north (T29)","T29-4N",5.683487744,326.533,7.09801283333334,"T29-4S",6.36942592,327.7012,7.58261084745763,15,6.026456832
152359,2016-01-16 04:00:00,"north (T29)","T29-4N",2.841743872,331.8927,4.08209841666667,"T29-4S",3.331699712,331.3639,4.16204163934426,16,3.086721792
152361,2016-01-16 06:00:00,"north (T29)","T29-4N",3.527682048,325.3367,7.14013083333333,"T29-4S",2.4497792,324.1577,7.3317115,16,2.988730624
152401,2016-01-17 22:00:00,"north (T29)","T29-4N",3.42969088,327.1681,12.6003608333333,"T29-4S",3.135717376,319.4915,13.3755209836066,17,3.282704128
152404,2016-01-18 01:00:00,"north (T29)","T29-4N",6.663399424,322.4065,9.9189475,"T29-4S",4.507593728,323.0177,10.9866365,18,5.585496576
152412,2016-01-18 09:00:00,"north (T29)","T29-4N",6.761390592,332.4367,9.14788833333333,"T29-4S",5.87947008,319.6498,9.2112537704918,18,6.320430336
152413,2016-01-18 10:00:00,"north (T29)","T29-4N",9.701125632,326.4897,9.333138,"T29-4S",8.81920512,332.6166,11.4121496666667,18,9.260165376
152416,2016-01-18 13:00:00,"north (T29)","T29-4N",7.83929344,327.5256,6.57481733333333,"T29-4S",6.173443584,329.0492,13.9654950847458,18,7.006368512
158147,2016-01-23 02:00:00,"north (T29)","T29-4N",5.87947008,321.4551,9.2546535,"T29-4S",4.801567232,338.5202,10.320628,23,5.340518656
158148,2016-01-23 03:00:00,"north (T29)","T29-4N",6.271434752,327.9374,6.40076948333333,"T29-4S",8.035275776,334.2594,7.63677283333333,23,7.153355264
158150,2016-01-23 05:00:00,"north (T29)","T29-4N",1.861832192,329.9942,8.08302516666667,"T29-4S",1.95982336,339.5432,8.27035483333334,23,1.910827776
158163,2016-01-23 18:00:00,"north (T29)","T29-4N",8.32924928,328.7957,4.36104311666667,"T29-4S",7.251346432,326.4225,6.00436195,23,7.790297856
158217,2016-01-26 00:00:00,"north (T29)","T29-4N",5.487505408,338.5484,5.00141773333333,"T29-4S",3.91964672,339.567,4.78572457627118,26,4.703576064
